mapper              time
bwa                 0.23
bwa                 0.09
bwa                 0.09
bwa                 0.11
bwa                 0.12
ac_readmapper      11.91
ac_readmapper      11.59
ac_readmapper      11.50
ac_readmapper      11.36
ac_readmapper      11.52
bw_readmapper       3.26
bw_readmapper       4.01
bw_readmapper       5.04
bw_readmapper       3.96
bw_readmapper       4.54
